symbol,kind,parent_class,header,signature,line,prod_usage_count,prod_reachable,churn_12m,workflows_direct,header_basename_collision,name_uniqueness,match_confidence
setSize,p,o2::detectors::DetMatrixCacheIndirect,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/DetMatrixCache.h,(int s),155,3,true,0,0,false,unique,high
setStreamFlags,f,o2::utils::DebugStreamer,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/DebugStreamer.h,(const StreamFlags streamFlags),145,0,true,0,0,false,unique,high
setStreamer,p,o2::utils::DebugStreamer,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/DebugStreamer.h,"(const char * outFile,const char * option,const size_t id=getCPUID ())",96,1,true,0,0,false,unique,high
setValue,p,o2::conf::ConfigurableParam,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/ConfigurableParam.h,"(std::string const & key,std::string const & valuestring)",244,27,true,0,4,false,unique,high
setValues,p,o2::conf::ConfigurableParam,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/ConfigurableParam.h,"(std::vector<std::pair<std::string,std::string>> const & keyValues)",249,2,true,0,0,false,unique,high
short2,s,,/Users/miranov25/alicesw/O2/GPU/Common/GPUCommonDefAPI.h,,66,2,true,0,0,false,unique,medium
size,f,o2::utils::FIFO,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/FIFO.h,() const,31,-1,true,0,-1,false,ambiguous,ambiguous
size,f,o2::ctf::EncodedBlocks,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/EncodedBlocks.h,() const,469,-1,true,0,-1,false,ambiguous,ambiguous
start,p,o2::utils::FileFetcher,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/FileFetcher.h,(),67,454,true,0,91,false,unique,low
stop,p,o2::utils::FileFetcher,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/FileFetcher.h,(),68,112,true,0,11,false,unique,low
